price_UAH,city,main_area,second_area,street_name,subway,total_square,kitchen_square,living_square,rooms,total_floors,flat_floor,wall_type,checked_apartment,newbuild_name,animal,photo_counts,description,latitude,longitude,date,url
4 000,Харків,Салтівський,521-ий мікрорайон,вул. Нескорених(Героїв Праці),Салтівська,32.0,8.0,17.0,1,9,1,панель,True,,,8,"Квартира с ремонтом, укомплектована мебелью и техникой, пеший ход до метро, рядом супермаркет, рынок, остановка транспорта. Дополнительно оплачиваются коммунальные услуги.",50.021053,36.341751,2025-01-24 15:38:46,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-521-yy-mikrorayon-neskorenyh-geroev-truda-ulitsa-32689359.html
5 000,Харків,Слобідський,,бул. Жасминовий,Палац спорту,32.3,5.7,18.6,1,5,5,панель,True,,True,26,"Відмінна пропозиція для РОДИНИ : оренда 1 кімнатної квартири.
Локація: Слобідский рн
Жасміновий бульвар, 
м. Палац Спорту  4 зупинки транспортом., 25 хв пішки. 
*Переваги ОН:5 /5. Зверху техповерх.S=33м2/ кухня =6м2. 
Чудово організований житловий простір в 1к квартирі.
Світла квартира, шафа'купе для зберігання речей, 2хспальне ліжко + розкладний диван - 3 або і 4 спальних місць, письмовий уголок для навчання або роботи.Мебльована кухня, холодильник, пралка, газова плита.
С/в суміжний, чепурний.Заскленний просторий балкон. Лічильників немає, один прописаний.Броньовані двері.Код на під'їзді.
Чепурний , прибраний двір, дитячи майданчики та місця для занять спортом.Зупинки транспорту у багато напрямків міста.
Розвинена інфраструктура району .
Ринок,   супермаркети, 
ліцеї, садочки, алеї відпочинку.
*Важливо: Проживання з тваринками Власники не заперечують .
*Щоб відсвяткувати входини, Вам потрібно: 5 000 грн власнику +сплата комунальних по квитанціях + 5 000 грн заставні (можливо розбити на декілька платежів).+ 50% послуги рієлтора
З повагою Шило Ольга, сертифікована рієлторка СФНУ.",49.947713,36.317906,2025-01-24 14:04:08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-jasminovyy-bulvar-32337319.html
5 000,Харків,Слобідський,Нові Дома (Слобідський),бул. Жасминовий,Палац спорту,32.3,5.7,18.6,1,5,5,панель,True,,,15,"Сдам 1к квартиру м Дворец спорта, Жасминовый б-р, 6б Уютная, светлая, чистая, вам понравится. Меблирована всем необходимым. МПО.  Можно для семьи - имеется двуспальная кровать и раскладной диван. Можно с животными. В подъезде ремонт, МПО. Ухоженный двор. Развитая инфраструктура. До метро   4 остановки, 25 мин пешком. 5000 + коммуналка. Звоните, уточняйте. Предложение от владельца.",49.947713,36.317906,2025-01-24 14:01:18,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novye-doma-slobodskoy-jasminovyy-bulvar-32652174.html
4 000,Харків,Новобаварський,,Григорівське шосе,Холодна гора,38.0,6.9,21.9,1,10,6,кирпич,False,,,18,"Без комиссии ! Реальная ! метро Холодная Гора 3 минуты пешком .
Григоровское шоссе , дом 57 .

Сдам 1-комн.из.квартиру . Этаж 6/9 , дом кирпичный , ремонт, МПО . Без балкона - с эркером .
Есть  мебель , и техника для проживания : двухкамерный холодильник , телевизор , стиралка-автомат . Кондиционер .Сан.узел раздельный . Двойная входная дверь.

Цена : 4000 грн. + к.у .",49.98001425,36.1842889,2025-01-24 09:05:53,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-grigorovskoe-shosse-31887253.html
7 500,Харків,Новобаварський,Рубанівка,пров. Титаренківський,Холодна гора,36.0,5.0,30.0,1,5,3,кирпич,True,,,7,"Сдам квартиру студию в новострое 36 кв.м, 3/5 на Холодной горе, переулок Титаренковский 10 А, метро 10 минут, вся развитая инфраструктура в пешей доступности.

Квартира с современным ремонтом, встроенный холодильник, микроволновая печь, духовой шкаф, посудомоечная машина, большой диван, кондиционер, есть небольшая комната можно использовать как кабинет или спальню, балкон, фильтры для воды новые.
Индивидуальное газовое отопление, что экономит коммунальные расходы и горячая вода есть всегда.
Закрытая территория.

7500+ коммунальные услуги ( коммунальные услуги маленькие за счёт индивидуального отопления).

Остались вопросы лучше звоните!",49.9798046,36.19273406,2025-01-23 16:47:06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-rubanovka-titarenkovskiy-pereulok-32685031.html
12 000,Харків,Основ’янський,,вул. Георгія Тарасенка(Плеханівська),Левада,80.0,27.0,40.0,2,16,8,кирпич,True,ЖК Плеханівська,,10,"Довгострокова оренда 2к квартири в ЖК Плеханівська
вулиця Плеханівська
Тип будівництва: новобудова
Площа: 80м2/40м2/27м2
Поверх / Поверхів: 8 / 16
Тип стін: цегла
Ремонт: після ремонту

Ексклюзивно в агенції нерухомості SoftLoft. 
Код об'єкту: SL-060560

Ще більше цікавого на нашому сайті SoftLoft
Дізнавайтеся першими про найкращі пропозиції, аналітику ринку та корисні поради для оренди чи купівлі нерухомості. Завітайте на an-softloft  там знайдеться все, що потрібно для прийняття зважених рішень!

Підписуйтесь на наш Telegram-канал ""єКвартира""
Отримуйте актуальні новини, цікаві кейси та гарячі пропозиції просто у вашому смартфоні. Не пропустіть шанс бути на крок попереду!

Будьте з нами  ваш надійний партнер у світі нерухомості!",49.98184883,36.25250075,2025-01-23 15:50:23,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-osnovyanskiy-georgiya-tarasenko-plehanovskaya-ulitsa-32684616.html
3 500,Харків,Салтівський,,пров. Білостоцький,Академіка Барабашова,22.0,5.0,19.0,1,2,1,кирпич,True,,,12,"Здається дуже затишна квартира біля ТЦ Французький бульвар. Пров Білостоцький 20А. Квартира знаходиться на першому поверсі та має решітки на вікнах. Тепла, затишна, яка має все необхідне для комфортного проживання. Ключі є на руках
 Показуємо в зручний для вас час.
3500 + комунальні послуги.",49.99302522,36.29683415,2025-01-23 15:34:52,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-belostokskiy-pereulok-32684505.html
3 900,Харків,Салтівський,,вул. Академіка Павлова,Академіка Павлова,25.0,,,1,2,2,,True,,,16,"Здається в оренду помісячно затишна 1-кімнатна квартира у районі Московський (Салтівський) міста Харків. Нерухомість знаходиться на другому поверсі двоповерхового будинку. Загальна площа 25 м². Це вторинна нерухомість, ідеально підходить для одного мешканця. Чудове розташування забезпечить зручний доступ до всіх необхідних місць, а затишний і комфортний інтер'єр зробить ваше перебування приємним та затишним. У квартирі є все необхідне для комфортного життя.",50.00572634,36.31692886,2025-01-23 13:10:56,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademika-pavlova-ulitsa-32683573.html
3 000,Харків,Салтівський,,просп. Ювілейний,,44.0,5.3,29.9,2,5,4,панель,False,,,6,"Орендую в оренду 1к. в 2 ком кв, 2я кімната закрита. територіально, в дуже зручному місці, пр. Ювілейний, 34Д, 4/5, площа17/32/6. Район з розвиненою інфраструктурою і чудовою транспортною розв'язкою, поруч зупинки тролейбусів, трамваїв і маршруток, в пішій доступності (або 1 зупинка) метро Барабашово, магазини, АТБ, кіоски, Сільпо, ТРЦ Україна, пошта, поліклініка. Апартамент знаходиться на 4 поверсі, в хорошому житловому стані, 2-3 спальні місця, холодильник, пральна машина. Комунальні платежі оплачуються додатково.",49.995873,36.318644,2025-01-23 12:17:15,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-yubileynyy-prospekt-32439045.html
7 000,Харків,Салтівський,,вул. Гвардійців-Широнінців,Салтівська,68.5,7.5,43.6,3,9,6,панель,False,,,16,"Вперше здам в оренду затишну сімейну квартиру 70 м2 в будинку поліпшеного планування, вул. Гвардійців Широнинців, 93. Поруч джерело питної води, магазини, зупинка транспорту. До метро Салтівська - хвиилин 15 -20 пішки. Будинок дуже теплий, побудований в 90-х роках. Чистий, просторий підʼїзд, працює ліфт. Квартира на 6 поверсі, вікна виходять у тихий двір. Велика засклена лоджія 7 м2. Всі кімнати роздільні, санвузол роздільний, простора кухня. В квартирі свіжий сучасний ремонт, гарні сучасні меблі. На кухні вбудовані кухонні меблі, побутова кухонна техніка. Квартира з газом. Лічильники встановлені на газ та світло. Встановлена сигналізація. Телефонуйте! 7000 грн + ком.",50.03098,36.355452,2025-01-23 11:23:24,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-gvardeytsev-shironintsev-ulitsa-32680122.html
21 100,Харків,Київський,Нагірний (Київський),вул. Гіршмана,Пушкінська,176.0,29.6,59.9,2,6,5,кирпич,False,,,16,"Здам елітну квартиру для життя з максимальним комфортом в Центрі на вулиці Гіршмана.
Уявіть собі ранок, наповнений сонячним світлом, яке м'яко проникає через вікна вашої просторої дворівневої квартири в самому серці Харкова. Загальна площа 176 м² дозволяє вам насолоджуватися свободою простору і відчуттям затишку.
На першому рівні вас чекає сучасна вітальня, яка плавно переходить у стильну кухню-студію  ідеальне місце для вечерь з родиною або зустрічей з друзями. Піднявшись на другий рівень, ви опинитеся в особистій зоні комфорту: просторій спальні, гардеробній і затишному кабінеті, де натхнення знаходить кожного.
Для вашої зручності в квартирі передбачені два санвузли, обладнані всією необхідною сантехнікою: гідромасажна ванна для відпочинку, душова кабіна і біде. А великий балкон-лоджія з підігрівом стане вашим особистим куточком для відпочинку в будь-який час року.
Квартира повністю мебльована та укомплектована сучасною побутовою технікою. Автономне опалення, сигналізація, два інтернет-провайдери та лічильники на всі види ресурсів забезпечать комфортне та безпечне проживання.
Особлива перевага  закріплене місце для паркування у дворі. Вам не потрібно турбуватися про пошук парковки навіть у центрі міста.

Ця квартира  це не просто житло, це спосіб життя, на який ви заслуговуєте.
Не пропустіть шанс! Зв'яжіться з нами, щоб записатися на перегляд.",50.0006071,36.23994138,2025-01-23 10:06:06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nagornyy-kievskiy-girshmana-ulitsa-32679781.html
9 000,Харків,Слобідський,,вул. Олександра Матросова,Проспект Гагаріна,40.0,8.7,19.2,1,9,2,монолит,False,,,15,"Тільки довгострокова оренда!
(Квартира в Харкові)
Орендую 1 кімнатну квартиру по вул.Орлова (колишня матросова), 2 хвилини від Одеського Росту по проспекту Гагаріна. Новий капітальний ремонт з якісних матеріалів (нові труби, радіатори, нова провідка), італійська плитка. Два вбудованих шкаф-купе в коридорі, кухня, пральна машина, холодильник, печінка, витяжка, кондиціонер. Вся техніка нова. Поруч супермаркети, аптеки, відділення банків, ринок. Тихий район.
9 тис. + комунальні + застава",49.954541,36.263628,2025-01-23 07:56:04,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-aleksandra-matrosova-ulitsa-32519123.html
8 000,Харків,Основ’янський,Одеська,просп. Аерокосмічний(Гагаріна),Проспект Гагаріна,33.5,6.3,16.5,1,9,4,панель,False,,,13,"Сдам Свою 1 комнатную квартиру по проспекту Аэрокосмический (гагарина), рядом с одесским Классом. Капитальный ремонт из качественных материалов (новые трубы, радиаторы, новая проводка). Большой встроенный шкаф-купе в коридоре, кухня, стиральная машина, холодильник, духовка, вытяжка, кондиционер. УСТАНОВЛЕНА СИГНАЛИЗАЦИЯ. Рядом супермаркеты, аптеки, отделения банков, рынок, 2 мин. остановка.Тихий безопасный район.
8000 тыс. + коммунальные + залог",49.95024993,36.2574947,2025-01-23 07:52:04,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-odesskaya-aerokosmicheskiy-gagarina-prospekt-32599767.html
5 000,Харків,Шевченківський,,просп. Науки,Наукова,23.0,2.0,18.0,1,7,6,кирпич,True,,True,11,"Метро Наукова.

Сдам квартиру по проспекту Науки
Б.22, біля магазину ""Спортмастер"".

Ремонт. Квартира наповнена сучасними меблями та технікою.

Ціна 5000 грн., тільки світло та вода.

До метро п'ять хвилин.

Можна з маленькими тваринами вибірково.

Квартира вільна я з 21 січня.",50.018336,36.226089,2025-01-22 19:23:58,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shatilovka-nauki-prospekt-32666975.html
10 000,Харків,Київський,Нагірний (Київський),вул. Григорія Сковороди(Пушкінська),Пушкінська,75.0,7.0,46.0,3,8,4,кирпич,True,,True,14,"В самому серці міста, в місці, де гармонійно поєднується динаміка міського життя і затишок домашнього простору, пропонується простора 3-кімнатна квартира для оренди. Всього за 5 хвилин ходьби до метро ""Архітектора Бекетова"" та ""Пушкінська"", це житло стане справжньою знахідкою для тих, хто прагне бути в центрі подій.

Квартира розташована на 4-му поверсі 9-поверхового будинку, що має ліфт, а її планування продумане до найменших деталей: зручне розташування на дві сторони будівлі гарантує постійне відчуття тепла та світла. Дві просторі спальні з комфортними двоспальними ліжками забезпечать відмінний відпочинок, а вітальня з розкладним диваном стане ідеальним місцем для вечірніх посиденьок.

Кухня обладнана газовою плитою, а доглянута ванна та туалет створюють атмосферу чистоти і комфорту. Кожен куточок цієї квартири дихає затишком, запрошуючи створити тут свій ідеальний простір для життя.

Ціна оренди становить 10 000 грн/місяць (без урахування комунальних послуг), що робить цю пропозицію ще більш привабливою.

Не втрачайте можливості жити комфортно у самому центрі міста. Для додаткової інформації та організації перегляду телефонуйте за вказаними контактами.",50.000145,36.243358,2025-01-22 16:26:34,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nagornyy-kievskiy-grigoriya-skovorody-pushkinskaya-ulitsa-32670204.html
4 000,Харків,Київський,522-ий мікрорайон,вул. Академіка Павлова,Студентська,32.0,7.0,17.0,1,12,4,панель,True,,True,12,"Первый дом от метро, укомплектована необходимой мебелью и техникой, для проживания одного человека, пары, можно с ребенком, рассмотрим с маленькой воспитанной  собачкой. Дополнительно оплачиваются коммунальные услуги.",50.02059898,36.33131948,2025-01-22 13:24:12,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-522-yy-mikrorayon-akademika-pavlova-ulitsa-32678888.html
2 800,Харків,Київський,522-ий мікрорайон,вул. Академіка Павлова,Студентська,33.0,,,1,12,6,панель,True,,,12,"1-й будинок від метро Студентська. Поруч уся інфраструктура. Неподалік річка та зелена зона,  ліс. 
Дуже зручне місцерозташування",50.02012,36.331011,2025-01-22 12:31:56,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-peski-akademika-pavlova-ulitsa-32678552.html
12 000,Харків,,,пров. Отакара Яроша,,50.0,12.0,,1,23,11,монолитно-каркасный,True,ЖК Ультра,,17,"Здам квартиру в ЖК Ультра, метро Ботанічний Сад. 11 поверх, вікна на проспект Науки. Формат квартири кухня-студія +спальня, багато місць для зберігання ( шафи-купе ) . В сан вузлі гідро ванна. В квартирі припливна вентиляція (супер тихий вентилятор, закриті вікна - свіже повітря), кондиціонер. На кухні весь необхідний посуд. В спальні новий матрас.",50.024967734832444,36.218360822592985,2025-01-22 11:06:08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-otakara-yarosha-pereulok-32677361.html
3 000,Харків,Салтівський,,вул. Бучми,,45.0,7.0,30.0,2,9,6,панель,True,,True,9,"Квартира в хорошем жилом состоянии, укомплектована необходимой мебелью и техникой, есть 3 дивана, можно с мелким воспитанным животным. Дополнительно оплачиваются коммунальные услуги.",50.023704,36.370745,2025-01-21 18:14:48,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-buchmy-ulitsa-32676198.html
2 600,Харків,Салтівський,,Салтівське шосе,Академіка Барабашова,33.0,6.0,17.0,1,5,3,панель,True,,,20,"Приємна 1-кімнатна квартира на Салтівському Шоссе, 
поруч парк, ТРК Україна. 

Поруч уся інфраструктура, тихий безапасний район. 

Неподалік водойма з зоною відпочинку. 

Зручний 3й поверх. 

Сучасний ремонт у санвузлі. Санвузол розширенний. 
Майже нова сантехника.

Вигідна ціна! 

Не втрачайте шанс орендувати цю чудову квартиру за вигідною ціною! Телефонуйте!",49.985908,36.32325,2025-01-21 17:09:32,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-saltovskoe-shosse-32675928.html
3 999,Харків,Салтівський,,вул. Нескорених(Героїв Праці),Салтівська,48.0,,,2,5,3,панель,True,,,16,"2-х кімнатна квартира біля с/м Рост,  метро Салтівська. 
Дуже гарне місцерозташування. Усе поруч. Багато транспорту та метро. 

2 просторні лоджії у кожній кімнаті,  з ремонтом. 

Зручний 3-х поверх.",50.02305,36.344887,2025-01-21 15:22:18,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-neskorenyh-geroev-truda-ulitsa-32675043.html
3 700,Харків,Новобаварський,,вул. Дмитрівська,Південний вокзал,18.0,5.0,13.0,1,6,4,кирпич,True,,,9,"Здається затишна квартира-студія з сучасним дизайном 
 Адреса: вул. Дмитрівська 19, біля метро Центральний ринок
 Локація: квартира розташована на закритій території, що забезпечує безпеку та комфорт.
 Планування: ліжко на другому рівні, диван, компактний столик, вбудовані полиці для зберігання.
 Інфраструктура: у дворі є фонтан, дитячий майданчик і місце для парковки 
 Зручності: квартира обладнана власним газовим котлом, що гарантує автономне опалення та гарячу воду. Поруч є магазини.

Ціна: 3700 грн на місяць + комунальні послуги (холодна вода, електроенергія, газ, ЖЕК).

Житло здається через ріелтора

Звертайтесь для перегляду та деталей!
XXXXXXXXXX",49.987035,36.216268,2025-01-21 12:17:47,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-dmitrievskaya-ulitsa-32671444.html
3 700,Харків,Новобаварський,,вул. Дмитрівська,Південний вокзал,18.0,5.0,13.0,1,6,1,кирпич,True,,,6,"Здається затишна квартира-студія з сучасним дизайном 
 Адреса: вул. Дмитрівська 19, біля метро Центральний ринок
 Локація: квартира розташована на закритій території, що забезпечує безпеку та комфорт.
 Планування: ліжко на другому рівні, диван, компактний столик, вбудовані полиці для зберігання.
 Інфраструктура: у дворі є фонтан, дитячий майданчик і місце для парковки 
 Зручності: квартира обладнана власним газовим котлом, що гарантує автономне опалення та гарячу воду. Поруч є магазини.

Ціна: 3700 грн на місяць + комунальні послуги (холодна вода, електроенергія, газ, ЖЕК).

Житло здається через ріелтора

Звертайтесь для перегляду та деталей!",49.987035,36.216268,2025-01-21 11:43:51,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-dmitrievskaya-ulitsa-32671364.html
9 500,Харків,Немишлянський,,вул. Харківських Дивізій,Армійська,45.0,5.0,40.0,2,5,5,кирпич,True,,,16,"Сдам свою 2 ком. квартиру на 5 этаже ул Харьковских Дивизий д 9/1. Отличное место расположения : транспорт, метро, торговые центры, парк Юрьева видно в окно. В квартире есть практически все для жизни. Цена 9500гр. +свет, вода. Предпочтение семейной паре на длительный срок",49.959393,36.333763,2025-01-21 08:30:06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-harkovskih-diviziy-ulitsa-31656197.html
4 500,Харків,Салтівський,,вулиця Гвардійців Широнівців,Студентська,30.0,,,1,9,4,панель,True,,,16,"Напротив будинку с/м Класс. 
Метро Студентська у пішому доступі. 
Затишна квартира в оренду на місяць у районі Салтівський міста Харків. Площа 30 кв.м, одна кімната, знаходиться на 4 поверсі 9-поверхового будинку. Житлові та кухонні площі не вказані. Квартира з євроремонтом, відмінний стан приміщення. Чудовий варіант для одного чи двох мешканців, які цінують комфорт та затишок. Неподалік від будинку знаходяться магазини, кафе, парки та зручна транспортна розв'язка.",50.0173667,36.34393708,2025-01-20 18:05:17,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-32671387.html
3 000,Харків,Київський,Нагірний (Київський),вул. Чернишевська,Пушкінська,50.0,9.0,30.0,2,8,8,кирпич,True,,True,13,"Квартира в старом жилом состоянии, в центре города,  все рабочее, необходимым укомплектована, можно с животными.",50.00917560841734,36.243648211312575,2025-01-20 17:27:29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nagornyy-kievskiy-chernyshevskaya-ulitsa-32671200.html
